X,Y,U,K,KU,H,HU
-1,-1,0.52,9,0.555555556,91,0.516483516
-1,-0.95,0.52,8,0.625,92,0.510869565
-1,-0.9,0.57,10,0.8,90,0.544444444
-1,-0.85,0.4,13,0.230769231,87,0.425287356
-1,-0.8,0.44,10,0.5,90,0.433333333
-1,-0.75,0.43,13,0.692307692,87,0.390804598
-1,-0.7,0.43,8,0.5,92,0.423913043
-1,-0.65,0.47,13,0.615384615,87,0.448275862
-1,-0.6,0.41,18,0.5,82,0.390243902
-1,-0.55,0.29,6,0.5,94,0.276595745
-1,-0.5,0.38,7,0.714285714,93,0.35483871
-1,-0.45,0.25,11,0.363636364,89,0.235955056
-1,-0.4,0.24,13,0.230769231,87,0.24137931
-1,-0.35,0.25,17,0.647058824,83,0.168674699
-1,-0.3,0.19,7,0,93,0.204301075
-1,-0.25,0.29,10,0.3,90,0.288888889
-1,-0.2,0.19,13,0.384615385,87,0.16091954
-1,-0.15,0.25,11,0.545454545,89,0.213483146
-1,-0.1,0.22,8,0.375,92,0.206521739
-1,-0.05,0.24,14,0.428571429,86,0.209302326
-1,0,0.21,11,0.272727273,89,0.202247191
-1,0.05,0.12,14,0.357142857,86,0.081395349
-1,0.1,0.13,11,0.272727273,89,0.112359551
-1,0.15,0.22,7,0.285714286,93,0.215053763
-1,0.2,0.21,7,0.571428571,93,0.182795699
-1,0.25,0.17,8,0.375,92,0.152173913
-1,0.3,0.36,5,0.6,95,0.347368421
-1,0.35,0.23,7,0.142857143,93,0.23655914
-1,0.4,0.21,8,0.25,92,0.206521739
-1,0.45,0.23,6,0.5,94,0.212765957
-1,0.5,0.35,8,0.75,92,0.315217391
-1,0.55,0.29,5,0.8,95,0.263157895
-1,0.6,0.36,7,0.428571429,93,0.35483871
-1,0.65,0.35,4,0.25,96,0.354166667
-1,0.7,0.37,4,0.5,96,0.364583333
-1,0.75,0.36,8,0.375,92,0.358695652
-1,0.8,0.52,12,0.916666667,88,0.465909091
-1,0.85,0.48,7,0.571428571,93,0.47311828
-1,0.9,0.56,8,0.875,92,0.532608696
-1,0.95,0.48,7,0.428571429,93,0.483870968
-1,1,0.54,11,0.636363636,89,0.528089888
-0.95,-1,0.57,16,0.5625,84,0.571428571
-0.95,-0.95,0.54,12,0.5,88,0.545454545
-0.95,-0.9,0.45,14,0.428571429,86,0.453488372
-0.95,-0.85,0.53,13,0.538461538,87,0.528735632
-0.95,-0.8,0.44,19,0.473684211,81,0.432098765
-0.95,-0.75,0.45,9,0.444444444,91,0.450549451
-0.95,-0.7,0.45,10,0.4,90,0.455555556
-0.95,-0.65,0.55,16,0.5625,84,0.547619048
-0.95,-0.6,0.38,12,0.583333333,88,0.352272727
-0.95,-0.55,0.35,12,0.5,88,0.329545455
-0.95,-0.5,0.26,17,0.352941176,83,0.240963855
-0.95,-0.45,0.36,12,0.333333333,88,0.363636364
-0.95,-0.4,0.39,11,0.636363636,89,0.359550562
-0.95,-0.35,0.26,9,0.222222222,91,0.263736264
-0.95,-0.3,0.23,7,0.285714286,93,0.225806452
-0.95,-0.25,0.14,8,0.125,92,0.141304348
-0.95,-0.2,0.16,9,0.333333333,91,0.142857143
-0.95,-0.15,0.19,9,0.333333333,91,0.175824176
-0.95,-0.1,0.18,7,0.285714286,93,0.172043011
-0.95,-0.05,0.22,16,0.5,84,0.166666667
-0.95,0,0.21,7,0.571428571,93,0.182795699
-0.95,0.05,0.16,3,0.333333333,97,0.154639175
-0.95,0.1,0.18,9,0.333333333,91,0.164835165
-0.95,0.15,0.2,6,0.166666667,94,0.20212766
-0.95,0.2,0.21,10,0.3,90,0.2
-0.95,0.25,0.2,7,0.285714286,93,0.193548387
-0.95,0.3,0.19,7,0.142857143,93,0.193548387
-0.95,0.35,0.26,6,0.833333333,94,0.223404255
-0.95,0.4,0.27,7,0.428571429,93,0.258064516
-0.95,0.45,0.32,4,0.5,96,0.3125
-0.95,0.5,0.34,5,0.8,95,0.315789474
-0.95,0.55,0.32,9,0.333333333,91,0.318681319
-0.95,0.6,0.35,8,0.375,92,0.347826087
-0.95,0.65,0.38,5,0.6,95,0.368421053
-0.95,0.7,0.36,5,0.2,95,0.368421053
-0.95,0.75,0.48,9,0.333333333,91,0.494505495
-0.95,0.8,0.53,9,0.666666667,91,0.516483516
-0.95,0.85,0.39,6,0.5,94,0.382978723
-0.95,0.9,0.47,6,0.666666667,94,0.457446809
-0.95,0.95,0.47,4,0,96,0.489583333
-0.95,1,0.54,6,0.5,94,0.542553191
-0.9,-1,0.57,10,0.9,90,0.533333333
-0.9,-0.95,0.58,13,0.384615385,87,0.609195402
-0.9,-0.9,0.47,14,0.5,86,0.465116279
-0.9,-0.85,0.48,11,0.454545455,89,0.483146067
-0.9,-0.8,0.42,12,0.416666667,88,0.420454545
-0.9,-0.75,0.45,7,0.428571429,93,0.451612903
-0.9,-0.7,0.52,12,0.583333333,88,0.511363636
-0.9,-0.65,0.36,9,0.444444444,91,0.351648352
-0.9,-0.6,0.45,8,0.375,92,0.456521739
-0.9,-0.55,0.4,5,0.2,95,0.410526316
-0.9,-0.5,0.34,7,0.285714286,93,0.344086022
-0.9,-0.45,0.3,5,0.4,95,0.294736842
-0.9,-0.4,0.29,2,0.5,98,0.285714286
-0.9,-0.35,0.34,11,0.636363636,89,0.303370787
-0.9,-0.3,0.36,9,0.444444444,91,0.351648352
-0.9,-0.25,0.25,7,0.571428571,93,0.225806452
-0.9,-0.2,0.19,6,0.166666667,94,0.191489362
-0.9,-0.15,0.21,16,0.3125,84,0.19047619
-0.9,-0.1,0.26,8,0.25,92,0.260869565
-0.9,-0.05,0.21,4,0.5,96,0.197916667
-0.9,0,0.23,1,1,99,0.222222222
-0.9,0.05,0.29,7,0.714285714,93,0.258064516
-0.9,0.1,0.24,3,0.333333333,97,0.237113402
-0.9,0.15,0.19,7,0.428571429,93,0.172043011
-0.9,0.2,0.24,4,0.25,96,0.239583333
-0.9,0.25,0.23,4,0.25,96,0.229166667
-0.9,0.3,0.28,7,0.285714286,93,0.279569892
-0.9,0.35,0.27,4,0.5,96,0.260416667
-0.9,0.4,0.32,4,0.5,96,0.3125
-0.9,0.45,0.24,5,0.4,95,0.231578947
-0.9,0.5,0.37,5,0.6,95,0.357894737
-0.9,0.55,0.29,7,0.571428571,93,0.268817204
-0.9,0.6,0.49,3,0.666666667,97,0.484536082
-0.9,0.65,0.44,5,0.4,95,0.442105263
