X,Y,U,K,KU,H,HU
-1,-1,0.43,17,0.117647059,83,0.493975904
-1,-0.95,0.46,21,0.333333333,79,0.493670886
-1,-0.9,0.42,30,0.233333333,70,0.5
-1,-0.85,0.45,29,0.448275862,71,0.450704225
-1,-0.8,0.46,40,0.4,60,0.5
-1,-0.75,0.46,32,0.28125,68,0.544117647
-1,-0.7,0.42,40,0.425,60,0.416666667
-1,-0.65,0.47,45,0.444444444,55,0.490909091
-1,-0.6,0.51,33,0.484848485,67,0.52238806
-1,-0.55,0.47,40,0.45,60,0.483333333
-1,-0.5,0.53,54,0.574074074,46,0.47826087
-1,-0.45,0.46,58,0.413793103,42,0.523809524
-1,-0.4,0.46,46,0.47826087,54,0.444444444
-1,-0.35,0.61,60,0.55,40,0.7
-1,-0.3,0.43,57,0.350877193,43,0.534883721
-1,-0.25,0.59,52,0.576923077,48,0.604166667
-1,-0.2,0.54,68,0.588235294,32,0.4375
-1,-0.15,0.51,61,0.524590164,39,0.487179487
-1,-0.1,0.55,62,0.661290323,38,0.368421053
-1,-0.05,0.49,61,0.557377049,39,0.384615385
-1,0,0.52,65,0.553846154,35,0.457142857
-1,0.05,0.46,55,0.545454545,45,0.355555556
-1,0.1,0.65,63,0.682539683,37,0.594594595
-1,0.15,0.58,56,0.642857143,44,0.5
-1,0.2,0.54,49,0.591836735,51,0.490196078
-1,0.25,0.45,60,0.466666667,40,0.425
-1,0.3,0.45,49,0.428571429,51,0.470588235
-1,0.35,0.49,53,0.490566038,47,0.489361702
-1,0.4,0.43,48,0.416666667,52,0.442307692
-1,0.45,0.61,53,0.641509434,47,0.574468085
-1,0.5,0.51,44,0.545454545,56,0.482142857
-1,0.55,0.4,39,0.282051282,61,0.475409836
-1,0.6,0.49,41,0.463414634,59,0.508474576
-1,0.65,0.48,45,0.444444444,55,0.509090909
-1,0.7,0.5,30,0.533333333,70,0.485714286
-1,0.75,0.44,35,0.4,65,0.461538462
-1,0.8,0.47,30,0.266666667,70,0.557142857
-1,0.85,0.41,27,0.296296296,73,0.452054795
-1,0.9,0.38,29,0.24137931,71,0.436619718
-1,0.95,0.42,15,0.266666667,85,0.447058824
-1,1,0.53,19,0.368421053,81,0.567901235
-0.95,-1,0.39,25,0.4,75,0.386666667
-0.95,-0.95,0.46,26,0.269230769,74,0.527027027
-0.95,-0.9,0.46,29,0.448275862,71,0.464788732
-0.95,-0.85,0.46,32,0.3125,68,0.529411765
-0.95,-0.8,0.44,32,0.34375,68,0.485294118
-0.95,-0.75,0.47,35,0.485714286,65,0.461538462
-0.95,-0.7,0.49,45,0.466666667,55,0.509090909
-0.95,-0.65,0.52,52,0.442307692,48,0.604166667
-0.95,-0.6,0.45,56,0.410714286,44,0.5
-0.95,-0.55,0.45,49,0.469387755,51,0.431372549
-0.95,-0.5,0.52,62,0.516129032,38,0.526315789
-0.95,-0.45,0.48,58,0.517241379,42,0.428571429
-0.95,-0.4,0.54,58,0.603448276,42,0.452380952
-0.95,-0.35,0.41,62,0.467741935,38,0.315789474
-0.95,-0.3,0.54,59,0.542372881,41,0.536585366
-0.95,-0.25,0.6,64,0.671875,36,0.472222222
-0.95,-0.2,0.57,70,0.571428571,30,0.566666667
-0.95,-0.15,0.56,54,0.666666667,46,0.434782609
-0.95,-0.1,0.5,65,0.507692308,35,0.485714286
-0.95,-0.05,0.48,69,0.550724638,31,0.322580645
-0.95,0,0.55,63,0.571428571,37,0.513513514
-0.95,0.05,0.55,62,0.629032258,38,0.421052632
-0.95,0.1,0.61,70,0.7,30,0.4
-0.95,0.15,0.55,61,0.573770492,39,0.512820513
-0.95,0.2,0.56,70,0.614285714,30,0.433333333
-0.95,0.25,0.5,63,0.492063492,37,0.513513514
-0.95,0.3,0.56,52,0.634615385,48,0.479166667
-0.95,0.35,0.53,68,0.602941176,32,0.375
-0.95,0.4,0.55,50,0.58,50,0.52
-0.95,0.45,0.51,55,0.563636364,45,0.444444444
-0.95,0.5,0.56,51,0.568627451,49,0.551020408
-0.95,0.55,0.38,49,0.469387755,51,0.294117647
-0.95,0.6,0.56,49,0.489795918,51,0.62745098
-0.95,0.65,0.45,48,0.458333333,52,0.442307692
-0.95,0.7,0.51,38,0.421052632,62,0.564516129
-0.95,0.75,0.53,39,0.512820513,61,0.540983607
-0.95,0.8,0.44,31,0.290322581,69,0.507246377
-0.95,0.85,0.38,32,0.34375,68,0.397058824
-0.95,0.9,0.38,26,0.269230769,74,0.418918919
-0.95,0.95,0.36,20,0.3,80,0.375
-0.95,1,0.41,24,0.458333333,76,0.394736842
-0.9,-1,0.33,23,0.260869565,77,0.350649351
-0.9,-0.95,0.37,33,0.363636364,67,0.373134328
-0.9,-0.9,0.49,30,0.566666667,70,0.457142857
-0.9,-0.85,0.47,41,0.390243902,59,0.525423729
-0.9,-0.8,0.41,42,0.357142857,58,0.448275862
-0.9,-0.75,0.37,41,0.292682927,59,0.423728814
