A1,A2,U,K,KU,H,HU
-1,-1,0.42,15,0.133333333,85,0.470588235
-1,-0.9,0.4,15,0.266666667,85,0.423529412
-1,-0.8,0.18,80,0.125,20,0.4
-1,-0.7,0.03,83,0.036144578,17,0
-1,-0.6,0,76,0,24,0
-1,-0.5,0,70,0,30,0
-1,-0.4,0,69,0,31,0
-1,-0.3,0,79,0,21,0
-1,-0.2,0,75,0,25,0
-1,-0.1,0,71,0,29,0
-1,0,0,71,0,29,0
-1,0.1,0,82,0,18,0
-1,0.2,0,72,0,28,0
-1,0.3,0,70,0,30,0
-1,0.4,0,68,0,32,0
-1,0.5,0,69,0,31,0
-1,0.6,0,68,0,32,0
-1,0.7,0,58,0,42,0
-1,0.8,0,45,0,55,0
-1,0.9,0,40,0,60,0
-1,1,0,33,0,67,0
-0.9,-1,0.44,31,0.290322581,69,0.507246377
-0.9,-0.9,0.39,31,0.290322581,69,0.434782609
-0.9,-0.8,0.41,43,0.488372093,57,0.350877193
-0.9,-0.7,0.19,85,0.2,15,0.133333333
-0.9,-0.6,0.05,73,0.054794521,27,0.037037037
-0.9,-0.5,0,72,0,28,0
-0.9,-0.4,0,70,0,30,0
-0.9,-0.3,0,69,0,31,0
-0.9,-0.2,0,70,0,30,0
-0.9,-0.1,0,53,0,47,0
-0.9,0,0,59,0,41,0
-0.9,0.1,0,65,0,35,0
-0.9,0.2,0,56,0,44,0
-0.9,0.3,0,55,0,45,0
-0.9,0.4,0,54,0,46,0
-0.9,0.5,0,59,0,41,0
-0.9,0.6,0,51,0,49,0
-0.9,0.7,0.01,55,0.018181818,45,0
-0.9,0.8,0,51,0,49,0
-0.9,0.9,0.01,42,0,58,0.017241379
-0.9,1,0,44,0,56,0
-0.8,-1,0.06,77,0.077922078,23,0
-0.8,-0.9,0.44,40,0.425,60,0.45
-0.8,-0.8,0.41,41,0.414634146,59,0.406779661
-0.8,-0.7,0.43,57,0.49122807,43,0.348837209
-0.8,-0.6,0.22,75,0.266666667,25,0.08
-0.8,-0.5,0.1,70,0.142857143,30,0
-0.8,-0.4,0,58,0,42,0
-0.8,-0.3,0,58,0,42,0
-0.8,-0.2,0,57,0,43,0
-0.8,-0.1,0,52,0,48,0
-0.8,0,0,51,0,49,0
-0.8,0.1,0,58,0,42,0
-0.8,0.2,0,43,0,57,0
-0.8,0.3,0,40,0,60,0
-0.8,0.4,0.01,39,0.025641026,61,0
-0.8,0.5,0,30,0,70,0
-0.8,0.6,0,40,0,60,0
-0.8,0.7,0,45,0,55,0
-0.8,0.8,0.02,33,0.03030303,67,0.014925373
-0.8,0.9,0,48,0,52,0
-0.8,1,0,39,0,61,0
-0.7,-1,0.01,86,0.011627907,14,0
-0.7,-0.9,0.23,82,0.243902439,18,0.166666667
-0.7,-0.8,0.43,58,0.413793103,42,0.452380952
-0.7,-0.7,0.53,68,0.602941176,32,0.375
-0.7,-0.6,0.5,71,0.563380282,29,0.344827586
-0.7,-0.5,0.4,79,0.481012658,21,0.095238095
-0.7,-0.4,0.13,67,0.194029851,33,0
-0.7,-0.3,0.06,57,0.105263158,43,0
-0.7,-0.2,0,38,0,62,0
-0.7,-0.1,0,27,0,73,0
-0.7,0,0,36,0,64,0
-0.7,0.1,0,25,0,75,0
-0.7,0.2,0,41,0,59,0
-0.7,0.3,0,39,0,61,0
-0.7,0.4,0,26,0,74,0
-0.7,0.5,0,24,0,76,0
-0.7,0.6,0,24,0,76,0
-0.7,0.7,0,31,0,69,0
-0.7,0.8,0,40,0,60,0
-0.7,0.9,0,49,0,51,0
-0.7,1,0.01,58,0,42,0.023809524
-0.6,-1,0,88,0,12,0
-0.6,-0.9,0.04,77,0.051948052,23,0
-0.6,-0.8,0.24,78,0.294871795,22,0.045454545
-0.6,-0.7,0.53,71,0.591549296,29,0.379310345
-0.6,-0.6,0.5,67,0.597014925,33,0.303030303
-0.6,-0.5,0.59,76,0.710526316,24,0.208333333
-0.6,-0.4,0.6,83,0.710843373,17,0.058823529
-0.6,-0.3,0.24,52,0.461538462,48,0
-0.6,-0.2,0,28,0,72,0
-0.6,-0.1,0,33,0,67,0
