XY,ST,U,K,KU,H,HU
-1.0,2.0,0.1839080459770115,27.0,0.14814814814814814,60.0,0.2
-1.0,3.0,0.45,31.0,0.6129032258064516,69.0,0.37681159420289856
-1.0,4.0,0.42,30.0,0.4,70.0,0.42857142857142855
-1.0,5.0,0.35,23.0,0.17391304347826086,77.0,0.4025974025974026
-1.0,6.0,0.48,21.0,0.42857142857142855,79.0,0.4936708860759494
-1.0,7.0,0.48,23.0,0.391304347826087,77.0,0.5064935064935064
-1.0,8.0,0.44,21.0,0.3333333333333333,79.0,0.46835443037974683
-1.0,9.0,0.45,19.0,0.42105263157894735,81.0,0.4567901234567901
-1.0,10.0,0.36,24.0,0.25,76.0,0.39473684210526316
-0.9,2.0,0.20652173913043478,29.0,0.10344827586206896,63.0,0.25396825396825395
-0.9,3.0,0.41,29.0,0.4482758620689655,71.0,0.39436619718309857
-0.9,4.0,0.48,33.0,0.6060606060606061,67.0,0.417910447761194
-0.9,5.0,0.5,34.0,0.5588235294117647,66.0,0.4696969696969697
-0.9,6.0,0.51,24.0,0.6666666666666666,76.0,0.4605263157894737
-0.9,7.0,0.44,30.0,0.4,70.0,0.45714285714285713
-0.9,8.0,0.44,35.0,0.34285714285714286,65.0,0.49230769230769234
-0.9,9.0,0.41,34.0,0.4117647058823529,66.0,0.4090909090909091
-0.9,10.0,0.4,39.0,0.4358974358974359,61.0,0.3770491803278688
-0.8,2.0,0.23711340206185566,31.0,0.22580645161290322,66.0,0.24242424242424243
-0.8,3.0,0.34,29.0,0.4827586206896552,71.0,0.28169014084507044
-0.8,4.0,0.55,39.0,0.6153846153846154,61.0,0.5081967213114754
-0.8,5.0,0.48,41.0,0.5609756097560976,59.0,0.423728813559322
-0.8,6.0,0.48,38.0,0.5789473684210527,62.0,0.41935483870967744
-0.8,7.0,0.43,49.0,0.4489795918367347,51.0,0.4117647058823529
-0.8,8.0,0.51,50.0,0.5,50.0,0.52
-0.8,9.0,0.42,40.0,0.475,60.0,0.38333333333333336
-0.8,10.0,0.39,52.0,0.4807692307692308,48.0,0.2916666666666667
-0.7,2.0,0.18888888888888888,40.0,0.125,50.0,0.24
-0.7,3.0,0.41,34.0,0.5588235294117647,66.0,0.3333333333333333
-0.7,4.0,0.43,54.0,0.5740740740740741,46.0,0.2608695652173913
-0.7,5.0,0.45,51.0,0.5882352941176471,49.0,0.30612244897959184
-0.7,6.0,0.49,47.0,0.5531914893617021,53.0,0.4339622641509434
-0.7,7.0,0.5,55.0,0.6,45.0,0.37777777777777777
-0.7,8.0,0.52,61.0,0.6557377049180327,39.0,0.3076923076923077
-0.7,9.0,0.42,63.0,0.5238095238095238,37.0,0.24324324324324326
-0.7,10.0,0.51,68.0,0.5735294117647058,32.0,0.375
-0.6,2.0,0.0967741935483871,36.0,0.05555555555555555,57.0,0.12280701754385964
-0.6,3.0,0.39,56.0,0.5,44.0,0.25
-0.6,4.0,0.41,52.0,0.5576923076923077,48.0,0.25
-0.6,5.0,0.5,56.0,0.625,44.0,0.3409090909090909
-0.6,6.0,0.51,64.0,0.609375,36.0,0.3333333333333333
-0.6,7.0,0.58,74.0,0.6621621621621622,26.0,0.34615384615384615
-0.6,8.0,0.64,66.0,0.7424242424242424,34.0,0.4411764705882353
-0.6,9.0,0.58,77.0,0.6753246753246753,23.0,0.2608695652173913
-0.6,10.0,0.59,79.0,0.6708860759493671,21.0,0.2857142857142857
-0.5,2.0,0.14444444444444443,38.0,0.13157894736842105,52.0,0.15384615384615385
-0.5,3.0,0.42,55.0,0.5272727272727272,45.0,0.28888888888888886
-0.5,4.0,0.51,62.0,0.6290322580645161,38.0,0.3157894736842105
-0.5,5.0,0.68,77.0,0.8311688311688312,23.0,0.17391304347826086
-0.5,6.0,0.55,71.0,0.6901408450704225,29.0,0.20689655172413793
-0.5,7.0,0.61,73.0,0.726027397260274,27.0,0.2962962962962963
-0.5,8.0,0.6,81.0,0.691358024691358,19.0,0.21052631578947367
-0.5,9.0,0.79,85.0,0.8470588235294118,15.0,0.4666666666666667
-0.5,10.0,0.76,86.0,0.8372093023255814,14.0,0.2857142857142857
-0.4,2.0,0.14285714285714285,38.0,0.13157894736842105,53.0,0.1509433962264151
-0.4,3.0,0.44,60.0,0.5833333333333334,40.0,0.225
-0.4,4.0,0.56,63.0,0.6349206349206349,37.0,0.43243243243243246
-0.4,5.0,0.64,73.0,0.6986301369863014,27.0,0.48148148148148145
-0.4,6.0,0.7,83.0,0.8072289156626506,17.0,0.17647058823529413
-0.4,7.0,0.7,89.0,0.7415730337078652,11.0,0.36363636363636365
-0.4,8.0,0.75,94.0,0.7978723404255319,6.0,0.0
-0.4,9.0,0.83,92.0,0.8695652173913043,8.0,0.375
-0.4,10.0,0.78,90.0,0.8333333333333334,10.0,0.3
-0.3,2.0,0.15730337078651685,39.0,0.15384615384615385,50.0,0.16
-0.3,3.0,0.34,57.0,0.45614035087719296,43.0,0.18604651162790697
-0.3,4.0,0.57,81.0,0.691358024691358,19.0,0.05263157894736842
-0.3,5.0,0.76,84.0,0.8333333333333334,16.0,0.375
-0.3,6.0,0.8,89.0,0.8876404494382022,11.0,0.09090909090909091
-0.3,7.0,0.81,95.0,0.8210526315789474,5.0,0.6
-0.3,8.0,0.89,99.0,0.898989898989899,1.0,0.0
-0.3,9.0,0.93,95.0,0.9473684210526315,5.0,0.6
-0.3,10.0,0.96,97.0,0.979381443298969,3.0,0.3333333333333333
-0.2,2.0,0.17391304347826086,46.0,0.10869565217391304,46.0,0.2391304347826087
-0.2,3.0,0.45,69.0,0.5797101449275363,31.0,0.16129032258064516
-0.2,4.0,0.61,80.0,0.7125,20.0,0.2
-0.2,5.0,0.77,90.0,0.8444444444444444,10.0,0.1
-0.2,6.0,0.81,91.0,0.8681318681318682,9.0,0.2222222222222222
-0.2,7.0,0.88,95.0,0.9263157894736842,5.0,0.0
-0.2,8.0,0.88,96.0,0.90625,4.0,0.25
-0.2,9.0,0.92,99.0,0.9292929292929293,1.0,0.0
-0.2,10.0,0.93,100.0,0.93,0.0,0
-0.1,2.0,0.08695652173913043,46.0,0.043478260869565216,46.0,0.13043478260869565
-0.1,3.0,0.56,66.0,0.7575757575757576,34.0,0.17647058823529413
-0.1,4.0,0.67,88.0,0.75,12.0,0.08333333333333333
-0.1,5.0,0.8,92.0,0.8369565217391305,8.0,0.375
-0.1,6.0,0.79,91.0,0.8461538461538461,9.0,0.2222222222222222
-0.1,7.0,0.9,95.0,0.9473684210526315,5.0,0.0
