XY,ST,U,K,KU,H,HU
-1.0,2.0,0.06578947368421052,17.0,0.0,59.0,0.0847457627118644
-1.0,3.0,0.5,29.0,0.6896551724137931,71.0,0.4225352112676056
-1.0,4.0,0.45,28.0,0.5357142857142857,72.0,0.4166666666666667
-1.0,5.0,0.55,17.0,0.7647058823529411,83.0,0.5060240963855421
-1.0,6.0,0.6,21.0,0.7142857142857143,79.0,0.569620253164557
-1.0,7.0,0.61,25.0,0.6,75.0,0.6133333333333333
-1.0,8.0,0.59,11.0,0.6363636363636364,89.0,0.5842696629213483
-1.0,9.0,0.62,17.0,0.47058823529411764,83.0,0.6506024096385542
-1.0,10.0,0.67,10.0,0.5,90.0,0.6888888888888889
-0.9,2.0,0.15476190476190477,28.0,0.25,56.0,0.10714285714285714
-0.9,3.0,0.3939393939393939,20.0,0.45,79.0,0.379746835443038
-0.9,4.0,0.56,25.0,0.76,75.0,0.49333333333333335
-0.9,5.0,0.45,16.0,0.5625,84.0,0.42857142857142855
-0.9,6.0,0.45,11.0,0.7272727272727273,89.0,0.4157303370786517
-0.9,7.0,0.61,7.0,0.2857142857142857,93.0,0.6344086021505376
-0.9,8.0,0.63,8.0,0.25,92.0,0.6630434782608695
-0.9,9.0,0.67,6.0,0.6666666666666666,94.0,0.6702127659574468
-0.9,10.0,0.68,7.0,0.42857142857142855,93.0,0.6989247311827957
-0.8,2.0,0.20652173913043478,27.0,0.18518518518518517,65.0,0.2153846153846154
-0.8,3.0,0.42,20.0,0.45,80.0,0.4125
-0.8,4.0,0.43,17.0,0.5294117647058824,83.0,0.40963855421686746
-0.8,5.0,0.43,19.0,0.42105263157894735,81.0,0.43209876543209874
-0.8,6.0,0.64,11.0,0.5454545454545454,89.0,0.651685393258427
-0.8,7.0,0.41,16.0,0.3125,84.0,0.42857142857142855
-0.8,8.0,0.53,10.0,0.4,90.0,0.5444444444444444
-0.8,9.0,0.55,3.0,0.3333333333333333,97.0,0.5567010309278351
-0.8,10.0,0.58,6.0,0.3333333333333333,94.0,0.5957446808510638
-0.7,2.0,0.225,31.0,0.25806451612903225,49.0,0.20408163265306123
-0.7,3.0,0.44,26.0,0.5,74.0,0.4189189189189189
-0.7,4.0,0.58,31.0,0.6129032258064516,69.0,0.5652173913043478
-0.7,5.0,0.44,21.0,0.38095238095238093,79.0,0.45569620253164556
-0.7,6.0,0.49,12.0,0.5,88.0,0.48863636363636365
-0.7,7.0,0.44,10.0,0.2,90.0,0.4666666666666667
-0.7,8.0,0.48,14.0,0.14285714285714285,86.0,0.5348837209302325
-0.7,9.0,0.5,11.0,0.2727272727272727,89.0,0.5280898876404494
-0.7,10.0,0.48,11.0,0.18181818181818182,89.0,0.5168539325842697
-0.6,2.0,0.125,20.0,0.15,60.0,0.11666666666666667
-0.6,3.0,0.40816326530612246,28.0,0.5714285714285714,70.0,0.34285714285714286
-0.6,4.0,0.39,29.0,0.5172413793103449,71.0,0.3380281690140845
-0.6,5.0,0.43,25.0,0.4,75.0,0.44
-0.6,6.0,0.48,17.0,0.47058823529411764,83.0,0.4819277108433735
-0.6,7.0,0.37,32.0,0.5,68.0,0.3088235294117647
-0.6,8.0,0.38,28.0,0.42857142857142855,72.0,0.3611111111111111
-0.6,9.0,0.4,28.0,0.4642857142857143,72.0,0.375
-0.6,10.0,0.47,26.0,0.6153846153846154,74.0,0.4189189189189189
-0.5,2.0,0.1728395061728395,27.0,0.14814814814814814,54.0,0.18518518518518517
-0.5,3.0,0.40404040404040403,31.0,0.4838709677419355,68.0,0.36764705882352944
-0.5,4.0,0.44,46.0,0.4782608695652174,54.0,0.4074074074074074
-0.5,5.0,0.5,43.0,0.6511627906976745,57.0,0.38596491228070173
-0.5,6.0,0.39,57.0,0.45614035087719296,43.0,0.3023255813953488
-0.5,7.0,0.47,47.0,0.5106382978723404,53.0,0.4339622641509434
-0.5,8.0,0.39,44.0,0.5,56.0,0.30357142857142855
-0.5,9.0,0.38,55.0,0.43636363636363634,45.0,0.3111111111111111
-0.5,10.0,0.4,60.0,0.48333333333333334,40.0,0.275
-0.4,2.0,0.18421052631578946,31.0,0.16129032258064516,45.0,0.2
-0.4,3.0,0.4,40.0,0.6,60.0,0.26666666666666666
-0.4,4.0,0.48,56.0,0.625,44.0,0.29545454545454547
-0.4,5.0,0.61,71.0,0.6619718309859155,29.0,0.4827586206896552
-0.4,6.0,0.45,66.0,0.6060606060606061,34.0,0.14705882352941177
-0.4,7.0,0.5,74.0,0.5945945945945946,26.0,0.23076923076923078
-0.4,8.0,0.69,76.0,0.7368421052631579,24.0,0.5416666666666666
-0.4,9.0,0.52,79.0,0.5569620253164557,21.0,0.38095238095238093
-0.4,10.0,0.59,78.0,0.6794871794871795,22.0,0.2727272727272727
-0.3,2.0,0.2727272727272727,30.0,0.23333333333333334,47.0,0.2978723404255319
-0.3,3.0,0.44,56.0,0.5535714285714286,44.0,0.29545454545454547
-0.3,4.0,0.59,73.0,0.726027397260274,27.0,0.2222222222222222
-0.3,5.0,0.71,82.0,0.7926829268292683,18.0,0.3333333333333333
-0.3,6.0,0.72,85.0,0.8117647058823529,15.0,0.2
-0.3,7.0,0.7,88.0,0.7727272727272727,12.0,0.16666666666666666
-0.3,8.0,0.79,91.0,0.8241758241758241,9.0,0.4444444444444444
-0.3,9.0,0.76,92.0,0.8043478260869565,8.0,0.25
-0.3,10.0,0.78,95.0,0.8105263157894737,5.0,0.2
-0.2,2.0,0.1728395061728395,34.0,0.17647058823529413,47.0,0.1702127659574468
-0.2,3.0,0.46,69.0,0.5507246376811594,31.0,0.25806451612903225
-0.2,4.0,0.58,76.0,0.7236842105263158,24.0,0.125
-0.2,5.0,0.76,86.0,0.8604651162790697,14.0,0.14285714285714285
-0.2,6.0,0.78,88.0,0.8409090909090909,12.0,0.3333333333333333
-0.2,7.0,0.82,95.0,0.8631578947368421,5.0,0.0
-0.2,8.0,0.89,94.0,0.925531914893617,6.0,0.3333333333333333
-0.2,9.0,0.87,97.0,0.8969072164948454,3.0,0.0
-0.2,10.0,0.85,96.0,0.8854166666666666,4.0,0.0
-0.1,2.0,0.1927710843373494,42.0,0.19047619047619047,41.0,0.1951219512195122
-0.1,3.0,0.61,67.0,0.7164179104477612,33.0,0.3939393939393939
-0.1,4.0,0.68,87.0,0.7701149425287356,13.0,0.07692307692307693
-0.1,5.0,0.81,92.0,0.8586956521739131,8.0,0.25
-0.1,6.0,0.86,96.0,0.8854166666666666,4.0,0.25
-0.1,7.0,0.94,97.0,0.9690721649484536,3.0,0.0
-0.1,8.0,0.93,100.0,0.93,0.0,0
-0.1,9.0,0.98,99.0,0.9797979797979798,1.0,1.0
-0.1,10.0,0.99,100.0,0.99,0.0,0
0.0,2.0,0.19047619047619047,46.0,0.17391304347826086,38.0,0.21052631578947367
0.0,3.0,0.45,70.0,0.5714285714285714,30.0,0.16666666666666666
0.0,4.0,0.74,86.0,0.8372093023255814,14.0,0.14285714285714285
0.0,5.0,0.85,94.0,0.8723404255319149,6.0,0.5
0.0,6.0,0.92,97.0,0.9381443298969072,3.0,0.3333333333333333
0.0,7.0,0.91,100.0,0.91,0.0,0
0.0,8.0,0.97,99.0,0.9797979797979798,1.0,0.0
0.0,9.0,0.97,100.0,0.97,0.0,0
0.0,10.0,1.0,100.0,1.0,0.0,0
0.1,2.0,0.20930232558139536,37.0,0.08108108108108109,49.0,0.30612244897959184
0.1,3.0,0.43434343434343436,66.0,0.5151515151515151,33.0,0.2727272727272727
0.1,4.0,0.65,85.0,0.7058823529411765,15.0,0.3333333333333333
0.1,5.0,0.75,93.0,0.7956989247311828,7.0,0.14285714285714285
0.1,6.0,0.88,97.0,0.9072164948453608,3.0,0.0
0.1,7.0,0.93,97.0,0.9484536082474226,3.0,0.3333333333333333
0.1,8.0,0.93,99.0,0.9292929292929293,1.0,1.0
0.1,9.0,0.99,100.0,0.99,0.0,0
0.1,10.0,0.97,97.0,0.9896907216494846,3.0,0.3333333333333333
0.2,2.0,0.25301204819277107,41.0,0.3170731707317073,42.0,0.19047619047619047
0.2,3.0,0.49,74.0,0.527027027027027,26.0,0.38461538461538464
0.2,4.0,0.67,85.0,0.7058823529411765,15.0,0.4666666666666667
0.2,5.0,0.74,94.0,0.776595744680851,6.0,0.16666666666666666
0.2,6.0,0.79,92.0,0.8043478260869565,8.0,0.625
0.2,7.0,0.87,94.0,0.9042553191489362,6.0,0.3333333333333333
0.2,8.0,0.89,98.0,0.9081632653061225,2.0,0.0
0.2,9.0,0.93,96.0,0.9583333333333334,4.0,0.25
0.2,10.0,0.93,98.0,0.9387755102040817,2.0,0.5
0.3,2.0,0.18823529411764706,45.0,0.2,40.0,0.175
0.3,3.0,0.5353535353535354,67.0,0.6417910447761194,32.0,0.3125
0.3,4.0,0.54,60.0,0.6833333333333333,40.0,0.325
0.3,5.0,0.57,77.0,0.6753246753246753,23.0,0.21739130434782608
0.3,6.0,0.7,88.0,0.7727272727272727,12.0,0.16666666666666666
0.3,7.0,0.72,83.0,0.8072289156626506,17.0,0.29411764705882354
0.3,8.0,0.73,90.0,0.8,10.0,0.1
0.3,9.0,0.84,95.0,0.8842105263157894,5.0,0.0
0.3,10.0,0.71,93.0,0.7526881720430108,7.0,0.14285714285714285
0.4,2.0,0.15555555555555556,40.0,0.15,50.0,0.16
0.4,3.0,0.53,66.0,0.6363636363636364,34.0,0.3235294117647059
0.4,4.0,0.52,62.0,0.6290322580645161,38.0,0.34210526315789475
0.4,5.0,0.52,60.0,0.6833333333333333,40.0,0.275
0.4,6.0,0.52,77.0,0.6103896103896104,23.0,0.21739130434782608
0.4,7.0,0.44,64.0,0.53125,36.0,0.2777777777777778
0.4,8.0,0.62,70.0,0.7285714285714285,30.0,0.36666666666666664
0.4,9.0,0.59,76.0,0.6578947368421053,24.0,0.375
0.4,10.0,0.58,76.0,0.7105263157894737,24.0,0.16666666666666666
0.5,2.0,0.21839080459770116,28.0,0.25,59.0,0.2033898305084746
0.5,3.0,0.36,42.0,0.47619047619047616,58.0,0.27586206896551724
